13,laptop asus a450l cori5 4200u haswell gamming ,asus a450l cori5 4200u gamming spesifikasi processor cpu cori5 4200u haswell ram ddr3 4gb hardisc 500gb vga invidia 720m gamming grafis layar 14inc led hd dvd super multi webcam hdmi wifi lan card reader multi in 1 reader usb 3port lengkap unit laptop battrey adaptor kabel power kondisi hardware normal 100 fisik 98 muluss segel blm bongkar batrey tahan 2 3jm gantung pmakei os win 8 1 driver save in folder pin bb by riquez harga rp 4 750 nett iklan msh tayang barang ready langsung atc aja jgn tnya stock cara esan baca ikla telit ccok dgn unit silahakn trasnfer bukalapak barang kirim jne posindo untuk area luar kota pulau bayar c o d laku sidoarjo sby panda mojosar sela atur ,Rp 4750000

14,asus zenbook ux303la quot smoky brown quot fullset perfect condition ,asus zenbook ux303la review zenbook ultrabook cipta adu gaya praktis kinerja ux303 gabung tiga tingkat canggih bentuk baru warna smoky brown icicle gold rose gold sempurna desain metal konsentris ciri khas zen bentuk klasik zenbook ringan sempurna profil ramping setipis 3mm lihat cantik eleg lekang waktu kinerja hebat zenbook ux303 kembang tim asus golden eye teknolog ekslusif asus splendid hadir warna nyata apa lihat teknolog kerja otomatis baik setel untuk optimal gambar hasil gambar kaya warna baik untuk film game foto kinerja luar kinerja jadi utama zenbook ux303 punya butuh prosesor generasi 4 intel core i5 temu grafis ruang simpan cepat ux303 biar unggu apa tugas beri siap jalan tugas sama utar video halus jalan aplikasi cepat zenbook ux303 siap butuh konsumsi daya hemat buat perlu isi ulang asus sonicmaster untuk suara agum suara agum jadi ciri khas luarga zenbook kecual zenbook ux303 teknolog asus sonicmaster buat tim asus golder ear guna kombinasi proses produksi akurat software untuk hadir suara temu notebook bass vokal jernih volume suara tinggi asus zenbook ux303la spesifikasi intel core i5 4210u processor haswell gen 4 windows 8 1 64 bit original recovery aktif ddr3l 1600 mhz sdram onboard memory 4 gb led 13 3 hd 1600 x 900 bening tajam storage 1tb hdd lega gan card reader 2 in 1 card reader sd sdhc kamera hd web camera integrasi 802 11 a g n 802 11 ac widi bt 4 0 support on wlan bt 4 0 combo card audio built in speakers and microphone icepower asus sonicmaster technology kondisi mulus perfect like new 9 5 10 ga perlu ragu tingkat mulus nya lengkap fullset mantab gan garansi 1 bulan servis dll perfect condition harga 8jt pas free ongkir indonesia ,Rp 7300000

15,asus x540ya bx102d e1 7010 2gb 500gb dos 15 6 quot silver ,ready stock barang jamin 100 garansi asus indonesia harap konfirmasi barang esan speksifikasi amd e1 7010 apu with amd radeon r2 graphics dos layar 15 6 hd 1366x768 500gb hdd 2gb ddr3 memory usb 3 0 wi fi dvd writer 2 tahun garansi global senila rp 900 000 ,Rp 3280000

16,ultrabook asus zenbook prime gaming and design ,asus zenbook prime ux32vd harga pasar 10jt 6 jtan seri tinggi kelas bobot 1 4kg tebal 18mm ultrabook untuk kerja main yboard backlit lampu casing full aluminum kondisi baru mulus 99 mesin tested normal 100 13 3 inch ips led full hd 1080 anti glare intel core i5 3337u 1 80ghz turboboost upto 2 70ghz ram 6gb ddr3 hardisk 500gb 24gb ssd vga intel hd graphics 4000 1792mb nvidia geforce gt 620m 1gb total 4gb usb 3 0 hdmi wifi webcam os windows 10 pro dusbox asus unit zenbook charger bonus tas mouse mousepad yboard protector ,Rp 5900000

17,asus x541sa bx402d sr cel n3060 ram4gb hdd500gb dos layar 15 6 quot garansi resmi ,processor intel celeron dual core n3060 processor operating system dos memory 4 gb ddr3l 1600mhz sdram onboard memory display 15 6 16 9 led backlit hd 1366768 glare panel with 45 ntsc graphic integrated intel hd graphics hard drives 500gb 5400rpm sata hdd optical drive super multi dvd yboard chicklet yboard card reader multi format card reader sd sdhc sdxc webcam vga web camera wi fi integrated 802 11b g n integrated 802 11 ac on selected models 10 100 base t bluetooth built in bluetooth v4 0 interface 1 x microphone in headphone out jack 1 x vga port mini d sub 15 pin for external monitor 1 x usb 3 0 port s 1 x usb 2 0 port s 1 x usb c gen 1 up to 5 gbps 1 x rj45 lan jack for lan insert 1 x hdmi audio built in stereo w speakers and microphone asus sonicmaster technology battery 3 cells 36 whrs battery power adapter plug type 4 mm output 19 v dc 1 75 a 33 w input 100 240 v ac 50 60 hz universal warna silver free tas garansi 2 tahun resmi asus ,Rp 3629000

18,asus rog gx800vh kbl gy005t ironm metal ,display 18 4 fhd 3840x2160 wide view g sync processor intel core i7 7820hq processor 2 7ghz 8m cache up to 3 6 ghz memory 64gb 2800 ghz ddr4 ram hard drive pcieg3x4 512g m 2 ssd 3 graphics nvdia gtx1080 16g ddr5 g sync optical drive operating system windows 10 64bit camera hd web camera audio built in stereo 3 w speakers and microphone asus sonic studio networking wi fi bt4 0 slots interface 1 x microphone in jack 1 x headphone out jack spdif 2 x usb 3 1 type c port s 3 x usb 3 0 port s 1 x rj45 lan jack for lan insert 1 x hdmi 1 x docking port hot swap 1 x mini display port 1 x sd card reader battery 74whrs 4s2p 8 cell li ion battery pack power adapter output 19 5 v dc 16 9 a 330 w 19 5 v dc 16 9 a 330 w input 100 240 v ac 50 60 hz universal 3 2 pin compact power supply system system mensions 45 8 x 33 8 x 4 54 cm wxdxh dock thermal dock 35 9 x 41 8 x 13 3 cm wxdxh ,Rp 95299000

19,asus x441sa bx003d red ,dual core n3060 up to 2 48 ghz layar 14 hd 1366x768 grafis intel hd dos dvd writer usb 3 1 type c wifi bt 4 0 garansi 2 tahun ,Rp 3420000

20,asus gaming x550z amd fx 7500 ram 8gb hdd 1tb vga amd r7 m260dx 3gb 15 6 quot windows 10 original ,asus x550z exx211t gr processor amd fx 7500 radeon r7 10 compute cores 4c 6g 2 10ghz ram 2 x 4096 mb ddr3 8 gb pc3l 12800 dual slot memory harddisk 1 tb hdd operation system os windows 10 home single language 64 bit layar 15 6 hd slim gl 1366 x 768 vga amd radeon r7 graphics amd radeon r5 m230 series dedicated 3072 mb shared 3557 mb up to 6629 mb kamera hd web camera batera 4 cell li ion 2950 mah fitur dvd super multi dl drive card reader 3 in 1 realtek pcie gbe family controller bluetooth webcam cardreader 2 port usb 3 0 1 port usb 2 0 hdmi vga out qualcomm atheros ar956x wireless network adapter warna dark grey lengkap dus ori lengkap adaptor buku manual buku garansi bonus 1 tas asus garansi 1 tahun welcome dealer ,Rp 6329000

21,asus e202sa n3060 ram2 500gb dos grs resmi asus 1th ,dual core intel celeron processor n3060 layar 11 6 1366x768 graf intel hd hdd 500gb memory 2gb ddr3l usb 3 1 type c usb 3 0 bt 4 0 wifi os dos garansi 1 tahun warna ready black white n blue ,Rp 2900000

22,asus rog gl553vd fy280d ci7 7700hq 2 8 3 2ghz nvidia gtx1050 4gb ,asus gl553vd fy280d spesifikasi prosesor ci7 7700hq 2 8 3 2ghz ram 8gb hdd 1tb vga nvidia gtx1050 4gb layar 15 6 fhd os dos dvd rw cam blutooth wifi beli puya lebih design baru asus jamin mantaff ima cod delivery untuk daerah jakarta garansi resmi 2 tahun harga murah toko mall lengkap unit laptop tas laptop charger dus fullset bonus bag pag note untuk daerah jakarta irim gojek harap konfirmasi lewat pesan ,Rp 13799000

23,asus x200ma n2840 2gb 500gb 11 6 quot slim ,speksifikasi singkat processor intel celeron n2840 2 16 ghz memory ram 2 gb hard disk 500 gb sistem grafis intel hd graphics layar 11 6 hd led body slim usb hdmi battera 4 cell wifi webcam new garansi 1 tahun stributor ,Rp 3050000

